Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you of Hispanic/Latino/Spanish origin?,How would you best describe yourself?,What is your gender?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,Which of the following most influenced your decision to attend Duke?,How interested are you in Greek life at Duke?,How interested are you in non-Greek selective living groups at Duke?,Are you more or less likely to rush if the recruitment process were to be online?,What is your primary motivation for wanting to rush?,Which of the following best describes your living situation this semester?,What was your primary reason for staying home?,Are you planning to come to campus/Durham in the spring?,What are your plans for the spring?,Did you receive additional COVID-19 relief funds from Duke? (in addition to financial aid package),What do you think of the amount received?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,Share your opinions on... - The Duke Compact,Share your opinions on... - Duke's enforcement of the Duke Compact,Share your opinions on... - First-year fall housing arrangements,How many in-person classes are you in this semester?,Are you in a FOCUS?,How many of your FOCUS classes are in-person (not including the FOCUS “dinner”)?,Have you been able to find community this year?,Where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,How likely are you to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are you to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are you to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are you to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are your peers to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are your peers to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are your peers to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are your peers to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are you to report violations to the Duke Compact?,Were your summer and/or travel plans affected by the pandemic?,Has any member of your household lost their job or been furloughed due to the pandemic?,Have any of your family members or close contacts died from COVID-19?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did any of your parents or siblings attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Did you / are you planning to vote in the 2020 election?,Who did you vote for / who are you planning to vote for?,Did you / are you planning to vote at your home or in Durham?,Did you vote in the primary election?,Have you done any of the following?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,In which format do you read The Chronicle?
Trinity,Yes,White,Cis Man,Prefer not to say,No,No,No,Tx,77523,,,Suburban,"$80,000-$125,000",Yes,Undecided,Financial aid award / scholarship,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,2,Yes,2,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1520,36,Public (non-charter),No,6,3,No,No,Yes,No,Catholic,Very religious,Very liberal,Yes,Joe Biden,Home (Durham),Ineligible to vote,Drank alcohol,No,,Online
Pratt,No,Asian,Cis Man,Heterosexual,No,No,No,Mi,48168,,,Suburban,"$80,000-$125,000",Yes,Physics,"Duke’s ""brand name""",Extremely interested,Not interested at all,Much less likely,Other,On campus,,,Staying on campus,No,,No,No,Strongly unfavorable,Strongly unfavorable,Somewhat favorable,0,No,,Somewhat disagree,,A lot,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Very unlikely,Yes,Yes — furloughed,No,3.99,"SAT,ACT",1570,36,Public (non-charter),Yes,6,3,No,No,No,No,Protestant,Not very religious,Moderate,Yes,Jo Jorgenson,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex",No,,Print
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,CT,06032,,,Suburban,"$125,000-$250,000",No,Psychology,Pre-professional opportunities and alumni network,Very interested,Very interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly unfavorable,Strongly unfavorable,Somewhat unfavorable,1,Yes,1,Strongly disagree,,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very unlikely,Yes,No,No,4,ACT,,36,Public (non-charter),Yes,10,1,Yes,No,Yes,No,Agnostic,Not at all religious,Moderate,Ineligible to vote,,,Ineligible to vote,,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,CA,94611,,,Suburban,"$250,000-$500,000",No,Economics,Student life / campus culture,Extremely interested,Slightly interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Strongly favorable,2,No,,Somewhat agree,Clubs/Extracurriculars,A lot,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately Likely,Very likely,Neither likely or unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,3.93,ACT,,35,Public (non-charter),No,5,1,Yes,No,Yes,Yes,Protestant,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs,Had sex",No,,Online
Trinity,Yes,White,Cis Woman,Heterosexual,Yes,No,No,NC,27012,,,Suburban,"Below $40,000",Yes,Biology,Academics and interdisciplinary curriculum,Very interested,Slightly interested,More likely,Leadership opportunities,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,0,No,,Somewhat agree,Clubs/Extracurriculars,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately unlikely,Moderately likely,Yes,No,No,4,"SAT,ACT",1330,33,Public (non-charter),No,4,4,Yes,No,Yes,No,Protestant,Very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,No,White,Cis Man,Gay/Homosexual/Lesbian,No,No,No,MA,01201,,,Suburban,"$80,000-$125,000",Yes,Mathematics,"Duke’s ""brand name""",Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,4,No,,Strongly agree,Clubs/Extracurriculars,A little,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately likely,No,No,No,4,SAT,1600,,Public (non-charter),No,11,6,No,No,No,No,Agnostic,Not at all religious,Very liberal,Yes,Howie Hawkins,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex",Yes,Yes,Online
Trinity,No,White,Cis Woman,Heterosexual,Yes,No,No,SC,29588,,,Suburban,"Below $40,000",Yes,Public Policy Studies,"Duke’s ""brand name""",Not interested at all,Moderately interested,More likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,Yes,No,Strongly favorable,Somewhat favorable,Strongly favorable,2,Yes,2,Strongly disagree,,A lot,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,3.83,"SAT,ACT",1520,34,Public (non-charter),No,12,10,Yes,No,Yes,No,Other,Somewhat religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex",No,,Print
Pratt,No,Asian,Cis Woman,Heterosexual,No,No,No,PA,18104,,,Suburban,"$80,000-$125,000",Yes,Biomedical Engineering,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Other,At Home,Safety concerns,Yes - to campus,,No,,No,No,Strongly favorable,Don’t know,Somewhat unfavorable,0,No,,Neither agree nor disagree,,A great deal,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,4,SAT,1590,,Public (non-charter),No,8,8,Yes,No,Yes,No,Hindu,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,,No,,Online
Pratt,Yes,White,Cis Woman,Heterosexual,No,No,No,NC,28078,,,Suburban,"$80,000-$125,000",Yes,,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Neither more or less likely,Other,On campus,,,Unsure,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,3,Yes,2,Somewhat agree,Dorm,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Yes,No,No,4,"SAT,ACT",1500,35,Private (parochial),Yes,5,2,Yes,No,Yes,No,Agnostic,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Pratt,No,White,Cis Woman,Heterosexual,No,No,No,OH,44216,,,Rural,"$80,000-$125,000",Yes,Computer Science,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,No opinion,Somewhat unfavorable,Somewhat favorable,2,No,,Somewhat agree,Dorm,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately unlikely,Neither likely nor unlikely,Yes,Yes — lost their job,No,4,ACT,,36,Public (non-charter),No,10,4,No,Yes,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,No,"White,Asian",Cis Woman,Heterosexual,No,No,No,SC,29464,,,Suburban,"Below $40,000",Yes,Religious Studies,"Duke’s ""brand name""",Slightly interested,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,Yes,Strongly favorable,No,Yes,No opinion,No opinion,Somewhat favorable,2,No,,Neither agree nor disagree,,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Yes,No,No,4,ACT,,34,Public (non-charter),No,13,7,No,No,No,No,Protestant,Religious,Very liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs,Had sex",Yes,Yes,Online
Trinity,No,"White,Other",Cis Man,Bisexual,No,No,No,HI,96761,,,Rural,"$80,000-$125,000",Yes,Physics,Pre-professional opportunities and alumni network,Not interested at all,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,Yes,Strongly favorable,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,0,No,,Somewhat disagree,,A moderate amount,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Yes,Yes — furloughed,No,4,SAT,1540,,Private (non-denominational),No,10,4,No,No,No,No,Other,Somewhat religious,Very liberal,Ineligible to vote,,,Ineligible to vote,Had sex,No,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,WA,98010,,,Suburban,"$125,000-$250,000",No,Computer Science,Academics and interdisciplinary curriculum,Moderately interested,Very interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Strongly favorable,Strongly favorable,0,No,,Somewhat disagree,,A great deal,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,Yes — lost their job,No,4,SAT,1550,,Public (non-charter),No,3,1,Yes,No,Yes,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,Had sex,No,,Print and Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,UT,84095,,,Suburban,"$80,000-$125,000",Yes,Biology,"Duke’s ""brand name""",Slightly interested,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,0,No,,Somewhat disagree,,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1540,36,Public (non-charter),No,20,5,No,Yes,No,No,Other,Somewhat religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,,Yes,No,Online
Trinity,No,White,Cis Woman,Bisexual,Yes,No,No,SC,29707,,,Suburban,"Below $40,000",Yes,Political Science,Student life / campus culture,Slightly interested,Extremely interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Strongly favorable,1,No,,Strongly agree,Dorm,A little,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,Yes — lost their job,No,4,"SAT,ACT",1520,34,Public (non-charter),No,2,2,Yes,No,Yes,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex",Yes,No,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,Yes,,,"london, England",United Kingdom,Urban,"Above $500,000",No,Undecided,Student life / campus culture,Slightly interested,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,2,Yes,2,Strongly agree,Dorm,A great deal,Very likely,Very likely,Moderately Likely,Moderately unlikely,Very likely,Moderately Likely,Neither likely or unlikely,Very unlikely,Moderately unlikely,Yes,No,No,3.93,"SAT,ACT",1550,34,Private (non-denominational),Yes,22,14,No,No,No,No,Catholic,Religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,,Yes,No,Print and Online
Pratt,No,Asian,Cis Woman,Heterosexual,No,No,No,NE,68124,,,Suburban,"$80,000-$125,000",Yes,Electrical and Computer Engineering,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,2,No,,Strongly agree,Clubs/Extracurriculars,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,Yes — lost their job,No,4,"SAT,ACT",1560,36,Public (non-charter),No,12,8,No,No,No,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,Drank alcohol,No,,Neither
Trinity,Yes,"White,Black or African American,Asian",Cis Woman,Gay/Homosexual/Lesbian,No,No,No,FL,32927,,,Suburban,"$80,000-$125,000",Yes,Computer Science,Student life / campus culture,Not interested at all,Extremely interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,Yes,Yes,Strongly favorable,Strongly favorable,Strongly favorable,2,No,,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,Yes,4,"SAT,ACT",1510,34,Public (non-charter),No,10,10,Yes,No,Yes,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Had sex",Yes,Yes,Print and Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,MN,55446,,,Suburban,"$125,000-$250,000",No,Computer Science,Student life / campus culture,Moderately interested,Extremely interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Strongly unfavorable,Strongly favorable,1,No,,Somewhat agree,Dorm,A moderate amount,Moderately Likely,Very likely,Moderately Likely,Moderately unlikely,Moderately Likely,Very likely,Neither likely or unlikely,Moderately unlikely,Very unlikely,Yes,No,No,3.94,ACT,,36,Public (non-charter),No,4,4,Yes,No,Yes,No,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NC,28036,,,Suburban,"$250,000-$500,000",Yes,Biophysics,Other,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Strongly favorable,Somewhat favorable,2,Yes,2,Somewhat agree,Clubs/Extracurriculars,A great deal,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,No,No,4,ACT,,36,Public (non-charter),Yes,5,5,Yes,No,Yes,No,Hindu,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Neither
Trinity,Yes,White,Cis Woman,Heterosexual,No,No,No,FL,33181,,,Urban,"$80,000-$125,000",Yes,Chemistry,Pre-professional opportunities and alumni network,Very interested,Slightly interested,Less likely,Meeting new people,On campus,,,Staying on campus,Yes,Somewhat unfavorable,No,Yes,Somewhat favorable,Somewhat favorable,Strongly favorable,3,No,,Somewhat agree,Other,A lot,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,No,4,ACT,,34,Public (non-charter),No,17,8,No,No,No,No,Atheist,Not at all religious,Moderate,Yes,Joe Biden,Durham,No,,No,,Online
Trinity,Yes,White,Cis Woman,Prefer not to say,No,No,No,LA,70808,,,Suburban,"$80,000-$125,000",Yes,Psychology,Academics and interdisciplinary curriculum,Not interested at all,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,3,No,,Somewhat disagree,,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,No,3.75,ACT,,35,Other,No,18,10,No,No,Yes,Yes,Other,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),No,,Yes,No,Online
